price,area_m2,bedrooms,bathrooms,parking_spaces,property_type,neighborhood,zona,city,state,lat,lon,score_residencial,score_comercial,ndvi_mean_90,ndbi_mean_90
809000.0,230.0,3,2,2,casa,Centro,ZMC,Pouso Alegre,MG,-22.236511,-45.947361,0.5928,0.441,0.4644,-0.2052
768000.0,263.0,3,2,2,casa,Bela Vista,ZM,Pouso Alegre,MG,-22.218156,-45.964794,0.6738,0.3659,0.4811,-0.0289
685000.0,1170.0,0,0,0,terreno,Centro,ZMC,Pouso Alegre,MG,-22.227338,-45.946173,0.7841,0.8289,0.2117,-0.0109
357000.0,131.0,2,1,1,casa,Santa Luzia,ZMV,Pouso Alegre,MG,-22.239201,-45.944122,0.7571,0.5897,0.4179,-0.097
632000.0,148.0,3,3,3,casa_condominio,Centro,ZMC,Pouso Alegre,MG,-22.225643,-45.946882,0.8115,0.6322,0.23,-0.2474
963000.0,235.0,3,3,2,casa_condominio,Santa Luzia,ZMV,Pouso Alegre,MG,-22.227525,-45.944329,0.7175,0.5513,0.3384,-0.0522
244000.0,181.0,4,3,0,casa,Jardim São Paulo,ZEIS,Pouso Alegre,MG,-22.24571,-45.965957,0.1858,0.2106,0.4914,-0.1681
504000.0,124.0,2,1,1,casa,Parque das Acácias,ZM,Pouso Alegre,MG,-22.226547,-45.969716,0.2797,0.5222,0.2168,-0.2421
353000.0,95.0,3,3,2,apartamento,Vila Formosa,ZEIS,Pouso Alegre,MG,-22.245492,-45.957116,0.207,0.1605,0.4021,-0.1234
672000.0,202.0,0,1,4,comercial,Bela Vista,ZM,Pouso Alegre,MG,-22.213504,-45.961781,0.4054,0.2233,0.4368,-0.0927
816000.0,258.0,4,3,0,casa,Santa Luzia,ZMV,Pouso Alegre,MG,-22.237971,-45.94723,0.5228,0.547,0.4534,0.0018
615000.0,188.0,3,2,0,casa,Bela Vista,ZM,Pouso Alegre,MG,-22.213204,-45.955824,0.5797,0.2643,0.2078,-0.2138
875000.0,263.0,3,2,1,casa,Jardim Panorama,ZM1,Pouso Alegre,MG,-22.222354,-45.947078,0.4931,0.4152,0.4631,-0.221
713000.0,266.0,3,2,1,casa,Santa Luzia,ZMV,Pouso Alegre,MG,-22.237077,-45.94306,0.7943,0.262,0.1586,0.0392
560000.0,106.0,2,2,0,apartamento,São Geraldo,ZM2,Pouso Alegre,MG,-22.239349,-45.947086,0.2432,0.4205,0.5164,-0.1694
393000.0,128.0,4,3,1,casa,Jardim Panorama,ZM1,Pouso Alegre,MG,-22.213075,-45.942783,0.3256,0.1834,0.2524,0.0776
819000.0,273.0,4,3,0,casa,Novo Horizonte,ZEU,Pouso Alegre,MG,-22.210593,-45.968571,0.4526,0.2746,0.2764,0.0202
450000.0,128.0,3,2,0,apartamento,Novo Horizonte,ZEU,Pouso Alegre,MG,-22.201745,-45.961382,0.4276,0.4764,0.2113,-0.1873
324000.0,63.0,3,3,0,apartamento,Centro,ZMC,Pouso Alegre,MG,-22.228312,-45.940963,0.3792,0.5291,0.2027,-0.0128
970000.0,228.0,3,2,1,casa,Parque das Acácias,ZM,Pouso Alegre,MG,-22.231632,-45.971847,0.4356,0.3086,0.1995,0.0746
448000.0,171.0,3,2,0,casa,Bela Vista,ZM,Pouso Alegre,MG,-22.221119,-45.958788,0.3325,0.4016,0.4036,-0.2129
390000.0,108.0,0,1,2,comercial,Parque das Acácias,ZM,Pouso Alegre,MG,-22.232317,-45.974954,0.6545,0.56,0.1571,-0.2118
645000.0,111.0,4,3,1,casa,Santa Luzia,ZMV,Pouso Alegre,MG,-22.237647,-45.944384,0.5355,0.325,0.4108,0.0536
217000.0,112.0,4,3,2,casa,Jardim Panorama,ZM1,Pouso Alegre,MG,-22.216841,-45.940292,0.3148,0.6389,0.4799,-0.1414
112000.0,59.0,2,1,1,apartamento,Jardim São Paulo,ZEIS,Pouso Alegre,MG,-22.248839,-45.967777,0.3057,0.2237,0.3865,-0.0117
488000.0,221.0,4,3,2,casa,Bela Vista,ZM,Pouso Alegre,MG,-22.209534,-45.952133,0.4614,0.4594,0.3165,-0.2328
168000.0,51.0,3,2,0,apartamento,Novo Horizonte,ZEU,Pouso Alegre,MG,-22.205363,-45.967728,0.5001,0.3829,0.5418,0.0307
347000.0,133.0,3,3,0,apartamento,Vila Formosa,ZEIS,Pouso Alegre,MG,-22.246184,-45.954117,0.3542,0.2732,0.2566,-0.2011
203000.0,80.0,2,2,1,apartamento,Jardim São Paulo,ZEIS,Pouso Alegre,MG,-22.255264,-45.966672,0.3369,0.2274,0.5295,0.0707
926000.0,197.0,3,3,2,casa_condominio,Santa Luzia,ZMV,Pouso Alegre,MG,-22.234667,-45.943487,0.6765,0.6835,0.444,-0.1792
353000.0,89.0,3,2,0,casa,Parque das Acácias,ZM,Pouso Alegre,MG,-22.23286,-45.972335,0.535,0.5528,0.5336,0.0303
266000.0,995.0,0,0,0,terreno,Parque das Acácias,ZM,Pouso Alegre,MG,-22.228356,-45.97044,0.4703,0.421,0.376,-0.0496
663000.0,248.0,3,3,2,casa_condominio,Bairro Industrial,ZEU,Pouso Alegre,MG,-22.202045,-45.952908,0.3433,0.422,0.1851,-0.0197
383000.0,120.0,3,3,2,apartamento,Jardim Panorama,ZM1,Pouso Alegre,MG,-22.215738,-45.942763,0.4677,0.3593,0.2091,0.0776
313000.0,98.0,3,2,2,casa,Bairro Industrial,ZEU,Pouso Alegre,MG,-22.204943,-45.938355,0.2262,0.4517,0.4371,0.0829
313000.0,87.0,2,1,1,casa,Parque das Acácias,ZM,Pouso Alegre,MG,-22.218452,-45.980011,0.4583,0.3091,0.2681,-0.0895
