h3_id,slope_pct
88a8ac8491fffff,8.681
88a8ac8493fffff,14.662
88a8ac8497fffff,9.605
88a8ac8499fffff,7.016
88a8ac849bfffff,13.229
88a8aca001fffff,30.339
88a8aca003fffff,36.321
88a8aca005fffff,32.815
88a8aca007fffff,30.566
88a8aca009fffff,32.251
88a8aca00bfffff,41.148
88a8aca00dfffff,41.862
88a8aca01dfffff,34.939
88a8aca021fffff,15.087
88a8aca023fffff,31.814
88a8aca025fffff,14.817
88a8aca027fffff,15.961
88a8aca029fffff,31.987
88a8aca02bfffff,34.321
88a8aca02dfffff,17.506
88a8aca031fffff,29.776
88a8aca033fffff,20.361
88a8aca035fffff,30.334
88a8aca037fffff,17.198
88a8aca039fffff,37.825
88a8aca03dfffff,31.628
88a8aca041fffff,11.54
88a8aca043fffff,25.963
88a8aca045fffff,10.821
88a8aca047fffff,22.306
88a8aca049fffff,7.655
88a8aca04bfffff,13.651
88a8aca04dfffff,10.571
88a8aca051fffff,60.766
88a8aca055fffff,44.87
88a8aca057fffff,37.064
88a8aca059fffff,44.441
88a8aca05bfffff,53.302
88a8aca05dfffff,22.299
88a8aca061fffff,13.461
88a8aca063fffff,28.26
88a8aca065fffff,15.285
88a8aca067fffff,22.137
88a8aca069fffff,9.83
88a8aca06bfffff,13.308
88a8aca06dfffff,12.229
88a8aca101fffff,11.018
88a8aca103fffff,8.87
88a8aca105fffff,17.923
88a8aca107fffff,11.239
88a8aca109fffff,11.554
88a8aca10bfffff,11.38
88a8aca10dfffff,9.983
88a8aca111fffff,10.318
88a8aca113fffff,13.157
88a8aca115fffff,21.401
88a8aca117fffff,16.513
88a8aca119fffff,10.258
88a8aca11bfffff,14.593
88a8aca11dfffff,9.048
88a8aca121fffff,12.476
88a8aca123fffff,17.566
88a8aca125fffff,6.614
88a8aca127fffff,13.164
88a8aca129fffff,19.279
88a8aca12bfffff,15.441
88a8aca12dfffff,8.297
88a8aca131fffff,25.049
88a8aca133fffff,18.335
88a8aca135fffff,28.771
88a8aca137fffff,25.555
88a8aca139fffff,19.311
88a8aca13bfffff,18.73
88a8aca13dfffff,27.175
88a8aca141fffff,2.903
88a8aca143fffff,9.954
88a8aca145fffff,2.068
88a8aca147fffff,4.865
88a8aca149fffff,1.571
88a8aca14bfffff,4.627
88a8aca14dfffff,2.1
88a8aca151fffff,16.987
88a8aca153fffff,16.344
88a8aca155fffff,12.682
88a8aca157fffff,14.179
88a8aca159fffff,12.11
88a8aca15bfffff,20.047
88a8aca15dfffff,9.075
88a8aca161fffff,2.155
88a8aca163fffff,3.79
88a8aca165fffff,12.719
88a8aca167fffff,2.422
88a8aca169fffff,2.243
88a8aca16bfffff,3.161
88a8aca16dfffff,11.115
88a8aca181fffff,12.931
88a8aca183fffff,12.757
88a8aca185fffff,11.055
88a8aca187fffff,9.629
88a8aca189fffff,12.848
