h3_id,water_observation_rate
88a8ac8491fffff,0.0185
88a8ac8493fffff,0.0181
88a8ac8497fffff,0.0221
88a8ac8499fffff,0.0117
88a8ac849bfffff,0.0221
88a8aca001fffff,0.0061
88a8aca003fffff,0.0053
88a8aca005fffff,0.015
88a8aca007fffff,0.0085
88a8aca009fffff,0.0181
88a8aca00bfffff,0.0117
88a8aca00dfffff,0.0217
88a8aca01dfffff,0.0053
88a8aca021fffff,0.0284
88a8aca023fffff,0.0153
88a8aca025fffff,0.0396
88a8aca027fffff,0.0172
88a8aca029fffff,0.0089
88a8aca02bfffff,0.0148
88a8aca02dfffff,0.0299
88a8aca031fffff,0.0271
88a8aca033fffff,0.0289
88a8aca035fffff,0.0139
88a8aca037fffff,0.039
88a8aca039fffff,0.0201
88a8aca03dfffff,0.0103
88a8aca041fffff,0.0185
88a8aca043fffff,0.0182
88a8aca045fffff,0.0203
88a8aca047fffff,0.0144
88a8aca049fffff,0.0177
88a8aca04bfffff,0.0252
88a8aca04dfffff,0.0222
88a8aca051fffff,0.0168
88a8aca055fffff,0.0158
88a8aca057fffff,0.0091
88a8aca059fffff,0.0138
88a8aca05bfffff,0.0248
88a8aca05dfffff,0.024
88a8aca061fffff,0.012
88a8aca063fffff,0.0273
88a8aca065fffff,0.0088
88a8aca067fffff,0.0128
88a8aca069fffff,0.0151
88a8aca06bfffff,0.0196
88a8aca06dfffff,0.0148
88a8aca101fffff,0.0234
88a8aca103fffff,0.0626
88a8aca105fffff,0.0285
88a8aca107fffff,0.0439
88a8aca109fffff,0.0033
88a8aca10bfffff,0.0203
88a8aca10dfffff,0.0176
88a8aca111fffff,0.0644
88a8aca113fffff,0.0596
88a8aca115fffff,0.054
88a8aca117fffff,0.0497
88a8aca119fffff,0.0177
88a8aca11bfffff,0.0287
88a8aca11dfffff,0.0337
88a8aca121fffff,0.0167
88a8aca123fffff,0.0333
88a8aca125fffff,0.045
88a8aca127fffff,0.0238
88a8aca129fffff,0.0321
88a8aca12bfffff,0.0221
88a8aca12dfffff,0.0725
88a8aca131fffff,0.02
88a8aca133fffff,0.0352
88a8aca135fffff,0.0317
88a8aca137fffff,0.0164
88a8aca139fffff,0.0429
88a8aca13bfffff,0.0305
88a8aca13dfffff,0.0289
88a8aca141fffff,0.0152
88a8aca143fffff,0.0022
88a8aca145fffff,0.037
88a8aca147fffff,0.0122
88a8aca149fffff,0.0045
88a8aca14bfffff,0.0207
88a8aca14dfffff,0.0306
88a8aca151fffff,0.0275
88a8aca153fffff,0.021
88a8aca155fffff,0.011
88a8aca157fffff,0.0238
88a8aca159fffff,0.0096
88a8aca15bfffff,0.0104
88a8aca15dfffff,0.0015
88a8aca161fffff,0.0451
88a8aca163fffff,0.0201
88a8aca165fffff,0.0342
88a8aca167fffff,0.07
88a8aca169fffff,0.0445
88a8aca16bfffff,0.0214
88a8aca16dfffff,0.0321
88a8aca181fffff,0.0155
88a8aca183fffff,0.0156
88a8aca185fffff,0.0235
88a8aca187fffff,0.0202
88a8aca189fffff,0.0215
88a8aca18bfffff,0.0169
88a8aca18dfffff,0.0162
88a8aca19dfffff,0.0184
88a8aca1a1fffff,0.0169
88a8aca1a3fffff,0.0344
88a8aca1a5fffff,0.0264
88a8aca1a7fffff,0.0256
88a8aca1a9fffff,0.0196
88a8aca1abfffff,0.0288
88a8aca1adfffff,0.0234
88a8aca1b1fffff,0.0284
88a8aca1b5fffff,0.0203
88a8aca1b7fffff,0.0334
88a8aca1b9fffff,0.0199
88a8aca1bdfffff,0.024
88a8aca1c1fffff,0.0299
88a8aca1c3fffff,0.0135
88a8aca1c5fffff,0.027
88a8aca1c7fffff,0.0225
88a8aca1c9fffff,0.0633
88a8aca1cbfffff,0.0504
88a8aca1cdfffff,0.055
88a8aca1d1fffff,0.0242
88a8aca1d5fffff,0.0173
88a8aca1d7fffff,0.0195
88a8aca1ddfffff,0.0304
88a8aca1e1fffff,0.0237
88a8aca1e3fffff,0.0177
88a8aca1e5fffff,0.0265
88a8aca1e7fffff,0.0285
88a8aca1e9fffff,0.0233
88a8aca1ebfffff,0.0255
88a8aca1edfffff,0.03
88a8aca201fffff,0.0569
88a8aca203fffff,0.0414
88a8aca205fffff,0.0637
88a8aca207fffff,0.0387
88a8aca209fffff,0.0387
88a8aca20bfffff,0.0436
88a8aca20dfffff,0.048
88a8aca211fffff,0.0131
88a8aca213fffff,0.0214
88a8aca215fffff,0.0232
88a8aca217fffff,0.0255
88a8aca219fffff,0.0189
88a8aca21bfffff,0.0256
88a8aca21dfffff,0.0358
88a8aca221fffff,0.0227
88a8aca223fffff,0.0247
88a8aca225fffff,0.0348
88a8aca227fffff,0.0268
88a8aca229fffff,0.0683
88a8aca22bfffff,0.0311
88a8aca22dfffff,0.0267
88a8aca231fffff,0.0209
88a8aca233fffff,0.0216
88a8aca235fffff,0.0239
88a8aca237fffff,0.018
88a8aca239fffff,0.024
88a8aca23bfffff,0.0249
88a8aca23dfffff,0.0164
88a8aca241fffff,0.0194
88a8aca243fffff,0.0496
88a8aca245fffff,0.0139
88a8aca247fffff,0.0167
88a8aca249fffff,0.0146
88a8aca24bfffff,0.0407
88a8aca24dfffff,0.0184
88a8aca251fffff,0.0348
88a8aca253fffff,0.0285
88a8aca255fffff,0.0647
88a8aca257fffff,0.0409
88a8aca259fffff,0.0423
88a8aca25bfffff,0.0304
88a8aca25dfffff,0.0516
88a8aca261fffff,0.0128
88a8aca263fffff,0.0423
88a8aca265fffff,0.0315
88a8aca267fffff,0.0484
88a8aca269fffff,0.0156
88a8aca26bfffff,0.0248
88a8aca26dfffff,0.0338
88a8aca2a9fffff,0.0202
88a8aca2adfffff,0.0077
88a8aca2c1fffff,0.0311
88a8aca2c5fffff,0.0227
88a8aca2c7fffff,0.0203
88a8aca2cdfffff,0.0363
88a8aca2e1fffff,0.019
88a8aca2e3fffff,0.0235
88a8aca2e5fffff,0.0183
88a8aca2e7fffff,0.0158
88a8aca2e9fffff,0.0194
88a8aca2ebfffff,0.0374
88a8aca2edfffff,0.0206
88a8aca301fffff,0.0257
88a8aca303fffff,0.0333
88a8aca305fffff,0.0226
88a8aca307fffff,0.0242
88a8aca309fffff,0.006
88a8aca30bfffff,0.0266
88a8aca30dfffff,0.0436
88a8aca311fffff,0.0191
88a8aca313fffff,0.0168
88a8aca315fffff,0.03
88a8aca317fffff,0.076
88a8aca319fffff,0.0411
88a8aca31bfffff,0.0462
88a8aca31dfffff,0.0155
88a8aca321fffff,0.0058
88a8aca323fffff,0.0099
88a8aca325fffff,0.0545
88a8aca327fffff,0.0242
88a8aca329fffff,0.0349
88a8aca32bfffff,0.0243
88a8aca32dfffff,0.0285
88a8aca331fffff,0.0312
88a8aca333fffff,0.0118
88a8aca335fffff,0.0562
88a8aca337fffff,0.0172
88a8aca339fffff,0.0489
88a8aca33bfffff,0.0456
88a8aca33dfffff,0.0546
88a8aca341fffff,0.025
88a8aca343fffff,0.013
88a8aca345fffff,0.0255
88a8aca347fffff,0.0382
88a8aca349fffff,0.0511
88a8aca34bfffff,0.062
88a8aca34dfffff,0.013
88a8aca351fffff,0.0184
88a8aca353fffff,0.0084
88a8aca355fffff,0.0246
88a8aca357fffff,0.0239
88a8aca359fffff,0.0186
88a8aca35bfffff,0.0211
88a8aca35dfffff,0.0176
88a8aca361fffff,0.0201
88a8aca363fffff,0.0301
88a8aca365fffff,0.0093
88a8aca367fffff,0.0435
88a8aca369fffff,0.0129
88a8aca36bfffff,0.0761
88a8aca36dfffff,0.0291
88a8aca801fffff,0.0672
88a8aca803fffff,0.0393
88a8aca809fffff,0.0558
88a8aca80bfffff,0.0182
88a8aca811fffff,0.0191
88a8aca813fffff,0.0194
88a8aca815fffff,0.0208
88a8aca817fffff,0.0277
88a8aca819fffff,0.0727
88a8aca81bfffff,0.0513
88a8aca81dfffff,0.0455
88a8aca833fffff,0.0787
88a8aca835fffff,0.0469
88a8aca837fffff,0.0449
88a8aca839fffff,0.0816
88a8aca83bfffff,0.0873
88a8aca851fffff,0.0172
88a8aca853fffff,0.0389
88a8aca855fffff,0.017
88a8aca857fffff,0.0377
88a8aca859fffff,0.0288
