h3_id,date,ndvi,ndbi,bai,cloud_pct
demo-norte-01,2025-01-01,0.54,0.12,,8
demo-norte-01,2025-01-31,0.522,0.141,,9
demo-norte-01,2025-03-02,0.504,0.162,,10
demo-norte-01,2025-04-01,0.486,0.183,,11
demo-norte-01,2025-05-01,0.468,0.204,,12
demo-norte-01,2025-05-31,0.45,0.225,,13
demo-norte-01,2025-06-30,0.432,0.246,,14
demo-norte-01,2025-07-30,0.414,0.267,,15
demo-centro-01,2025-01-01,0.22,0.48,,8
demo-centro-01,2025-01-31,0.218,0.484,,9
demo-centro-01,2025-03-02,0.216,0.488,,10
demo-centro-01,2025-04-01,0.214,0.492,,11
demo-centro-01,2025-05-01,0.212,0.496,,12
demo-centro-01,2025-05-31,0.21,0.5,,13
demo-centro-01,2025-06-30,0.208,0.504,,14
demo-centro-01,2025-07-30,0.206,0.508,,15
demo-sul-01,2025-01-01,0.68,0.08,,8
demo-sul-01,2025-01-31,0.684,0.081,,9
demo-sul-01,2025-03-02,0.688,0.082,,10
demo-sul-01,2025-04-01,0.692,0.083,,11
demo-sul-01,2025-05-01,0.696,0.084,,12
demo-sul-01,2025-05-31,0.7,0.085,,13
demo-sul-01,2025-06-30,0.704,0.086,,14
demo-sul-01,2025-07-30,0.708,0.087,,15
