h3_id,date,ndvi,ndbi,bai,cloud_pct
88a8ac8491fffff,2026-03-28,0.5525,-0.215,,2.4
88a8ac8491fffff,2026-04-17,0.5325,-0.208,,0.1
88a8ac8491fffff,2026-05-05,0.5022,-0.165,,0.2
88a8ac8491fffff,2026-06-19,0.4347,-0.1244,,0.1
88a8ac8491fffff,2026-07-29,0.3085,0.0055,,0.0
88a8ac8491fffff,2026-08-18,0.3112,0.0197,,0.0
88a8ac8493fffff,2026-03-28,0.5056,-0.173,,2.4
88a8ac8493fffff,2026-04-17,0.4932,-0.1754,,0.1
88a8ac8493fffff,2026-05-05,0.471,-0.1447,,0.2
88a8ac8493fffff,2026-06-19,0.4301,-0.1277,,0.1
88a8ac8493fffff,2026-07-29,0.3718,-0.0592,,0.0
88a8ac8493fffff,2026-08-18,0.3728,-0.0407,,0.0
88a8ac8497fffff,2026-03-28,0.5384,-0.2007,,2.4
88a8ac8497fffff,2026-04-17,0.5252,-0.2004,,0.1
88a8ac8497fffff,2026-05-05,0.4939,-0.1546,,0.2
88a8ac8497fffff,2026-06-19,0.4279,-0.121,,0.1
88a8ac8497fffff,2026-07-29,0.3358,-0.0068,,0.0
88a8ac8497fffff,2026-08-18,0.3497,0.0029,,0.0
88a8ac8499fffff,2026-03-28,0.5279,-0.1801,,2.4
88a8ac8499fffff,2026-04-17,0.5132,-0.1812,,0.1
88a8ac8499fffff,2026-05-05,0.4831,-0.1387,,0.2
88a8ac8499fffff,2026-06-19,0.4264,-0.1148,,0.1
88a8ac8499fffff,2026-07-29,0.3354,-0.0175,,0.0
88a8ac8499fffff,2026-08-18,0.3655,-0.0205,,0.0
88a8ac849bfffff,2026-03-28,0.4838,-0.1343,,2.4
88a8ac849bfffff,2026-04-17,0.4792,-0.1485,,0.1
88a8ac849bfffff,2026-05-05,0.4436,-0.1108,,0.2
88a8ac849bfffff,2026-06-19,0.4162,-0.1241,,0.1
88a8ac849bfffff,2026-07-29,0.3768,-0.0682,,0.0
88a8ac849bfffff,2026-08-18,0.35,-0.0228,,0.0
88a8aca001fffff,2026-03-28,0.5521,-0.2222,,2.4
88a8aca001fffff,2026-04-20,0.5477,-0.2335,,0.4
88a8aca001fffff,2026-05-05,0.5325,-0.213,,0.2
88a8aca001fffff,2026-06-19,0.507,-0.2044,,0.6
88a8aca001fffff,2026-07-09,0.5058,-0.1981,,0.0
88a8aca001fffff,2026-08-18,0.4931,-0.1677,,0.0
88a8aca003fffff,2026-03-28,0.5481,-0.2218,,2.4
88a8aca003fffff,2026-04-20,0.5425,-0.2331,,0.4
88a8aca003fffff,2026-05-05,0.5241,-0.2124,,0.2
88a8aca003fffff,2026-06-19,0.4879,-0.1988,,0.6
88a8aca003fffff,2026-07-09,0.4859,-0.1888,,0.0
88a8aca003fffff,2026-08-18,0.4822,-0.1703,,0.0
88a8aca005fffff,2026-03-28,0.5495,-0.2178,,2.4
88a8aca005fffff,2026-04-20,0.5407,-0.2245,,0.4
88a8aca005fffff,2026-05-05,0.51,-0.1911,,0.2
88a8aca005fffff,2026-06-19,0.4708,-0.1587,,0.6
88a8aca005fffff,2026-07-09,0.4613,-0.1407,,0.0
88a8aca005fffff,2026-08-18,0.4332,-0.0896,,0.0
88a8aca007fffff,2026-03-28,0.5373,-0.1982,,2.4
88a8aca007fffff,2026-04-20,0.5254,-0.2023,,0.4
88a8aca007fffff,2026-05-05,0.4964,-0.1658,,0.2
88a8aca007fffff,2026-06-19,0.4475,-0.1241,,0.6
88a8aca007fffff,2026-07-09,0.4432,-0.1072,,0.0
88a8aca007fffff,2026-08-18,0.4045,-0.0466,,0.0
88a8aca009fffff,2026-03-28,0.5545,-0.2197,,2.4
88a8aca009fffff,2026-04-20,0.5486,-0.2294,,0.4
